Invoice #,Ex. Order No,Customer,Event,Venue,Event Date,Section,Row,Low Seat,High Seat,Sold Qty,Sale Date,Purchase Price/tix,Sell Price/tix,Total Purchase Price,Total Sell Price,Profit Loss,ROI(%),Margin,Shipping Cost,Tax
84399,kp8ms0m5dqw,SeatGeek,Dave Chappelle,Moody Center ATX,2023-07-14 19:30:00,108,E,17,18,2,2023-06-15 11:51:00,200.0,258.24,400.0,516.48,116.48,29.12,22.55,0,0
81225,515983670,VGG,Billy Strings,Moody Center ATX,2023-06-02 20:00:00,108,D,17,18,2,2023-05-09 10:46:00,100.0,42.3,200.0,84.6,-115.4,0.0,136.41,0,0
90712,213924558,TickPick,Jurassic World Live Tour,Moody Center ATX,2023-08-20 11:00:00,107,C,15,18,4,2023-08-13 19:28:00,100.0,36.9,400.0,147.6,-252.4,0.0,171.0,0,0
90893,VH1H2O4N24,Gametime,Carin Leon,Moody Center ATX,2023-08-31 20:00:00,108,E,17,18,2,2023-08-16 18:39:00,200.0,189.05,400.0,378.1,-21.9,0.0,5.79,0,0
83449,517233358,VGG,Billy Strings,Moody Center ATX,2023-06-03 20:00:00,106,C,5,9,5,2023-06-03 15:19:00,100.0,42.3,500.0,211.5,-288.5,0.0,136.41,0,0
83228,517113415,VGG,Billy Strings,Moody Center ATX,2023-06-02 20:00:00,108,C,1,2,2,2023-06-01 12:09:00,100.0,32.9,200.0,65.8,-134.2,0.0,203.95,0,0
79046,r5nea9xw2py,SeatGeek,Rauw Alejandro,Moody Center ATX,2023-04-16 19:00:00,108,D,5,7,3,2023-04-15 16:27:00,125.0,162.24,375.0,486.72,111.72,29.79,22.95,0,0
77361,8yngsodrpny,SeatGeek,Elevation Worship & Steven Furtick,Moody Center ATX,2023-04-18 19:00:00,108,B,16,18,3,2023-03-30 18:29:00,125.0,100.8,375.0,302.4,-72.6,0.0,24.01,0,0
87663,773116872,TickPick,Sam Smith,Moody Center ATX,2023-09-05 20:00:00,106,B,5,6,2,2023-07-27 07:51:00,250.0,131.4,500.0,262.8,-237.2,0.0,90.26,0,0
78024,369877136,TickPick,Elevation Worship & Steven Furtick,Moody Center ATX,2023-04-18 19:00:00,108,C,15,16,2,2023-04-06 21:04:00,125.0,122.4,250.0,244.8,-5.2,0.0,2.12,0,0
74144,11142187,Ticket Evolution,Bruce Springsteen & The E Street Band,Moody Center ATX,2023-02-16 19:30:00,GA,PIT,3,4,2,2023-02-11 21:11:00,495.0,845.06,990.0,1690.12,700.12,70.72,41.42,0,0
93696,43681850,TicketNetwork,Nickelback,Moody Center ATX,2023-09-23 18:30:00,108,E,15,16,2,2023-09-18 20:19:00,200.0,107.0,400.0,214.0,-186.0,0.0,86.92,0,0
85001,54698769,VividSeats,Dave Chappelle,Moody Center ATX,2023-07-14 19:30:00,108,C,15,18,4,2023-06-22 10:25:00,200.0,286.44,800.0,1145.76,345.76,43.22,30.18,0,0
87528,9n6gi726pmr,SeatGeek,Thomas Rhett: Home Team Tour 23,Moody Center ATX,2023-08-05 19:30:00,106,B,5,6,2,2023-07-24 07:26:00,250.0,123.84,500.0,247.68,-252.32,0.0,101.87,0,0
85763,3x9gfdwqyd3,SeatGeek,Carin Leon,Moody Center ATX,2023-08-31 20:00:00,108,C,1,4,4,2023-07-04 23:47:00,250.0,171.84,1000.0,687.36,-312.64,0.0,45.48,0,0
