Invoice #,Ex. Order No,Customer,Event,Venue,Event Date,Section,Row,Low Seat,High Seat,Sold Qty,Sale Date,Purchase Price/tix,Sell Price/tix,Total Purchase Price,Total Sell Price,Profit Loss,ROI(%),Margin,Shipping Cost,Tax
91614,56711650,VividSeats,WonderBus Festival - Saturday Passes Only,The Lawn at CAS,8/26/2023 12:00 PM,General Admission,Saturday,0,0,3,8/26/2023 10:19 AM,$ 50.00,$ 76.36,$ 150.00,$ 229.08,$ 79.08,52.72,34.52,$ 0.00,$ 0.00
91734,56778410,VividSeats,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,Sunday,0,0,2,8/27/2023 01:07 PM,$ 50.00,$ 62.31,$ 100.00,$ 124.62,$ 24.62,24.62,19.76,$ 0.00,$ 0.00
91518,56672485,VividSeats,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,General Admission,FRIDAY,0,0,1,8/25/2023 11:50 AM,$ 50.00,$ 87.40,$ 50.00,$ 87.40,$ 37.40,74.80,42.79,$ 0.00,$ 0.00
91634,56743940,VividSeats,WonderBus Festival - Saturday Passes Only,The Lawn at CAS,8/26/2023 12:00 PM,General Admission,Saturday,0,0,2,8/26/2023 01:29 PM,$ 50.00,$ 62.31,$ 100.00,$ 124.62,$ 24.62,24.62,19.76,$ 0.00,$ 0.00
91701,56767046,VividSeats,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,SUNDAY,0,0,1,8/26/2023 10:56 PM,$ 50.00,$ 57.66,$ 50.00,$ 57.66,$ 7.66,15.32,13.28,$ 0.00,$ 0.00
91718,231941972,Ticketmaster,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,SUNDAY,0,0,2,8/27/2023 11:47 AM,$ 50.00,$ 71.07,$ 100.00,$ 142.14,$ 42.14,42.14,29.65,$ 0.00,$ 0.00
91162,56517785,VividSeats,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,General Admission,FRIDAY,0,0,1,8/19/2023 04:33 PM,$ 50.00,$ 94.86,$ 50.00,$ 94.86,$ 44.86,89.72,47.29,$ 0.00,$ 0.00
91644,56746632,VividSeats,WonderBus Festival - Saturday Passes Only,The Lawn at CAS,8/26/2023 12:00 PM,General Admission,Saturday,0,0,1,8/26/2023 02:22 PM,$ 50.00,$ 66.96,$ 50.00,$ 66.96,$ 16.96,33.92,25.33,$ 0.00,$ 0.00
91455,56676072,VividSeats,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,General Admission,Friday,0,0,1,8/24/2023 08:38 PM,$ 50.00,$ 91.14,$ 50.00,$ 91.14,$ 41.14,82.28,45.14,$ 0.00,$ 0.00
91465,56679633,VividSeats,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,General Admission,Friday,0,0,2,8/24/2023 10:33 PM,$ 50.00,$ 91.14,$ 100.00,$ 182.28,$ 82.28,82.28,45.14,$ 0.00,$ 0.00
91641,521632233,VGG,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,SUNDAY,0,0,2,8/26/2023 02:09 PM,$ 50.00,$ 70.50,$ 100.00,$ 141.00,$ 41.00,41.00,29.08,$ 0.00,$ 0.00
91637,521631090,VGG,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,SUNDAY,0,0,1,8/26/2023 01:54 PM,$ 50.00,$ 70.50,$ 50.00,$ 70.50,$ 20.50,41.00,29.08,$ 0.00,$ 0.00
91294,521381228,VGG,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,VIP,Sunday,0,0,1,8/21/2023 08:16 PM,$ 100.00,$ 187.06,$ 100.00,$ 187.06,$ 87.06,87.06,46.54,$ 0.00,$ 0.00
90774,521010416,VGG,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,Sunday,0,0,2,8/14/2023 09:14 PM,$ 50.00,$ 121.26,$ 100.00,$ 242.52,$ 142.52,142.52,58.77,$ 0.00,$ 0.00
91753,56782585,VividSeats,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,Sunday,0,0,2,8/27/2023 03:16 PM,$ 50.00,$ 66.96,$ 100.00,$ 133.92,$ 33.92,33.92,25.33,$ 0.00,$ 0.00
91594,521608036,VGG,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,SUNDAY,0,0,2,8/26/2023 07:30 AM,$ 50.00,$ 79.90,$ 100.00,$ 159.80,$ 59.80,59.80,37.42,$ 0.00,$ 0.00
91326,521408449,VGG,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,Sunday,0,0,2,8/22/2023 01:39 PM,$ 50.00,$ 79.90,$ 100.00,$ 159.80,$ 59.80,59.80,37.42,$ 0.00,$ 0.00
91233,56552592,VividSeats,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,General Admission,FRIDAY,0,0,1,8/20/2023 06:44 PM,$ 50.00,$ 94.86,$ 50.00,$ 94.86,$ 44.86,89.72,47.29,$ 0.00,$ 0.00
91434,521506369,VGG,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,VIP,Friday,0,0,4,8/24/2023 02:00 PM,$ 200.00,$ 187.06,$ 800.00,$ 748.24,($ 51.76),0.00,6.92,$ 0.00,$ 0.00
91520,56666569,VividSeats,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,General Admission,FRIDAY,0,0,3,8/25/2023 12:03 PM,$ 50.00,$ 87.40,$ 150.00,$ 262.20,$ 112.20,74.80,42.79,$ 0.00,$ 0.00
91511,82411919,VividSeats,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,General Admission,FRIDAY,0,0,4,8/25/2023 11:27 AM,$ 50.00,$ 92.00,$ 200.00,$ 368.00,$ 168.00,84.00,45.65,$ 0.00,$ 0.00
