Invoice #,Ex. Order No,Customer,Event,Venue,Event Date,Section,Row,Low Seat,High Seat,Sold Qty,Sale Date,Purchase Price/tix,Sell Price/tix,Total Purchase Price,Total Sell Price,Profit Loss,ROI(%),Margin,Shipping Cost,Tax
82094,TK533XNCYM,Gametime,"Austin City Limits Festival - Weekend Two - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-13 13:00:00,General Admission,Friday,0,0,2,2023-05-17 12:55:00,163.22,189.05,326.44,378.1,51.66,15.83,13.66,0,0
94176,523379601,VGG,"Austin City Limits Festival - Weekend One - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-06 13:00:00,General Admission,Friday,0,0,1,2023-09-26 18:19:00,170.0,173.9,170.0,173.9,3.9,2.29,2.24,0,0
87160,519436057,VGG,"Austin City Limits Festival - Weekend One - Saturday Only (Foo Fighters, Shania Twain, Alanis Morissette and more)",Zilker Park,2023-10-07 12:00:00,General Admission,Saturday,0,0,2,2023-07-17 15:48:00,163.22,206.8,326.44,413.6,87.16,26.7,21.07,0,0
95328,523944001,VGG,"Austin City Limits Festival - Weekend One - Saturday Only (Foo Fighters, Shania Twain, Alanis Morissette and more)",Zilker Park,2023-10-07 12:00:00,General Admission,Saturday,0,0,1,2023-10-07 07:52:00,163.22,230.3,163.22,230.3,67.08,41.1,29.13,0,0
92640,522410746,VGG,"Austin City Limits Festival 2023 with Kendrick Lamar, The 1975, Hozier and more - Weekend Two - 3 Day Pass (10/13-10/15)",Zilker Park,2023-10-13 12:00:00,General Admission,3DAY,0,0,2,2023-09-09 08:53:00,327.33,455.9,654.66,911.8,257.14,39.28,28.2,0,0
92891,55030911,VividSeats,"Austin City Limits Music Festival with Kendrick Lamar, Shania Twain, Hozier and more - Weekend One - 3 Day Pass (10/6-10/8)",Zilker Park,2023-10-06 11:59:00,General Admission,3DAY,0,0,1,2023-09-12 17:17:00,327.33,430.59,327.33,430.59,103.26,31.55,23.98,0,0
95307,58196928,VividSeats,"Austin City Limits Festival - Weekend Two - Sunday Only (Mumford & Sons, Odesza, Hozier and more)",Zilker Park,2023-10-15 13:00:00,General Admission,Sunday,0,0,2,2023-10-06 23:21:00,163.22,168.33,326.44,336.66,10.22,3.13,3.04,0,0
94163,928776743,TickPick,"Austin City Limits Festival 2023 with Kendrick Lamar, The 1975, Hozier and more - Weekend Two - 3 Day Pass (10/13-10/15)",Zilker Park,2023-10-13 12:00:00,General Admission,3DAY,0,0,2,2023-09-26 15:20:00,375.0,424.8,750.0,849.6,99.6,13.28,11.72,0,0
94597,dgoxuy79n8v,SeatGeek,"Austin City Limits Music Festival with Kendrick Lamar, Shania Twain, Hozier and more - Weekend One - 3 Day Pass (10/6-10/8)",Zilker Park,2023-10-06 11:59:00,General Admission,3DAY,0,0,1,2023-10-02 21:36:00,375.0,360.0,375.0,360.0,-15.0,0.0,4.17,0,0
81255,515989663,VGG,"Austin City Limits Festival 2023 with Kendrick Lamar, The 1975, Hozier and more - Weekend Two - 3 Day Pass (10/13-10/15)",Zilker Park,2023-10-13 12:00:00,General Admission,3DAY,0,0,1,2023-05-09 12:53:00,327.33,343.1,327.33,343.1,15.77,4.82,4.6,0,0
94996,523881052,VGG,"Austin City Limits Festival - Weekend One - Sunday Only (Mumford & Sons, Odesza, Hozier and more)",Zilker Park,2023-10-08 12:00:00,General Admission,Sunday,0,0,3,2023-10-06 02:04:00,163.22,177.66,489.66,532.98,43.32,8.85,8.13,0,0
94456,523649868,VGG,"Austin City Limits Festival - Weekend Two - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-13 13:00:00,General Admission,Friday,0,0,2,2023-10-01 11:58:00,170.0,164.5,340.0,329.0,-11.0,0.0,3.34,0,0
